epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.361,2.16305,4.61324,1.25377,0.39654,0.18951,0.15138,0.05306,3.48661,3.23755,0.8239,0.00066568,0.00066568,0.00066568
2,654.163,2.41967,2.23172,1.26742,0.44346,0.29211,0.25158,0.07951,3.24243,2.04465,0.8089,0.00130597,0.00130597,0.00130597
3,976.051,2.45048,2.08762,1.27034,0.48113,0.32412,0.28443,0.08364,3.21934,1.96615,0.82173,0.00191985,0.00191985,0.00191985
4,1294.15,2.34298,1.9151,1.2578,0.53931,0.34763,0.33085,0.10534,3.08502,1.86765,0.80279,0.0018812,0.0018812,0.0018812
5,1613.08,2.26863,1.75892,1.20833,0.55452,0.3572,0.33691,0.12022,3.09942,1.75047,0.79369,0.0018416,0.0018416,0.0018416
6,1937.52,2.21573,1.63496,1.17066,0.49271,0.37816,0.34123,0.11569,3.09847,1.73031,0.7841,0.001802,0.001802,0.001802
7,2254.61,2.17017,1.54736,1.16276,0.58366,0.40658,0.40506,0.15134,2.9643,1.59649,0.77147,0.0017624,0.0017624,0.0017624
8,2561.88,2.11548,1.47378,1.13019,0.57689,0.42037,0.41627,0.15191,2.93094,1.62506,0.76687,0.0017228,0.0017228,0.0017228
9,2871.33,2.0974,1.42545,1.13017,0.59714,0.44092,0.44014,0.16288,2.91913,1.54542,0.77284,0.0016832,0.0016832,0.0016832
10,3178.33,2.02983,1.34212,1.10798,0.61745,0.47052,0.45145,0.15909,2.83273,1.48049,0.76201,0.0016436,0.0016436,0.0016436
11,3490.22,2.01531,1.3435,1.09661,0.65625,0.46193,0.47867,0.18605,2.79747,1.42845,0.75922,0.001604,0.001604,0.001604
12,3795.65,2.00833,1.29838,1.10242,0.64186,0.46178,0.45393,0.17343,2.93582,1.45736,0.76264,0.0015644,0.0015644,0.0015644
13,4093.99,1.95627,1.2503,1.09396,0.63751,0.45942,0.47406,0.18565,2.83163,1.40878,0.75555,0.0015248,0.0015248,0.0015248
14,4400.62,1.95289,1.21224,1.08441,0.64173,0.47179,0.48169,0.18872,2.75798,1.41655,0.75926,0.0014852,0.0014852,0.0014852
15,4704.93,1.96243,1.19185,1.07399,0.67581,0.46593,0.48139,0.19253,2.83393,1.44122,0.75143,0.0014456,0.0014456,0.0014456
16,5010.08,1.92634,1.19073,1.07325,0.66254,0.4889,0.51157,0.2028,2.78171,1.4039,0.7527,0.001406,0.001406,0.001406
17,5316.36,1.85455,1.11569,1.0589,0.66984,0.51808,0.52731,0.21499,2.74518,1.32519,0.74878,0.0013664,0.0013664,0.0013664
18,5621.17,1.89352,1.14313,1.06112,0.67324,0.49234,0.52392,0.21551,2.73911,1.3566,0.7469,0.0013268,0.0013268,0.0013268
19,5926.05,1.83355,1.08709,1.04732,0.68665,0.51761,0.53921,0.22291,2.71669,1.33778,0.74549,0.0012872,0.0012872,0.0012872
20,6231.16,1.86455,1.1079,1.05858,0.70474,0.49711,0.53608,0.21943,2.72574,1.33808,0.74495,0.0012476,0.0012476,0.0012476
21,6529.37,1.84195,1.08242,1.03716,0.71467,0.50919,0.55632,0.22885,2.68465,1.30026,0.74435,0.001208,0.001208,0.001208
22,6829.7,1.82488,1.04232,1.03476,0.71248,0.52463,0.56301,0.23584,2.66513,1.27361,0.74188,0.0011684,0.0011684,0.0011684
23,7129.83,1.80572,1.03779,1.01824,0.69863,0.54404,0.56589,0.23954,2.66897,1.2616,0.73915,0.0011288,0.0011288,0.0011288
24,7428.09,1.77799,1.01353,1.02091,0.70915,0.54709,0.57996,0.24898,2.63789,1.24487,0.7368,0.0010892,0.0010892,0.0010892
25,7722.47,1.74348,0.98143,1.01185,0.7331,0.53905,0.58345,0.25016,2.60908,1.22308,0.73678,0.0010496,0.0010496,0.0010496
