timestamp_s,frame_index,action,detected,confidence,target_cx,target_cy,dx,dy,norm_area,fps
0.942,0,SEARCH,0,0.0,-1,-1,0,0,0.0,1.06
1.294,1,SEARCH,0,0.0,-1,-1,0,0,0.0,2.84
1.49,2,SEARCH,0,0.0,-1,-1,0,0,0.0,5.11
1.685,3,SEARCH,0,0.0,-1,-1,0,0,0.0,5.13
1.875,4,SEARCH,0,0.0,-1,-1,0,0,0.0,5.25
2.064,5,SEARCH,0,0.0,-1,-1,0,0,0.0,5.31
2.264,6,SEARCH,0,0.0,-1,-1,0,0,0.0,5.01
2.452,7,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
2.64,8,SEARCH,0,0.0,-1,-1,0,0,0.0,5.32
2.879,9,SEARCH,0,0.0,-1,-1,0,0,0.0,4.17
3.163,10,SEARCH,0,0.0,-1,-1,0,0,0.0,3.52
3.367,11,SEARCH,0,0.0,-1,-1,0,0,0.0,4.9
3.548,12,SEARCH,0,0.0,-1,-1,0,0,0.0,5.55
4.086,13,SEARCH,0,0.0,-1,-1,0,0,0.0,1.86
4.389,14,SEARCH,0,0.0,-1,-1,0,0,0.0,3.3
4.674,15,SEARCH,0,0.0,-1,-1,0,0,0.0,3.5
4.868,16,SEARCH,0,0.0,-1,-1,0,0,0.0,5.17
5.064,17,SEARCH,0,0.0,-1,-1,0,0,0.0,5.11
5.268,18,SEARCH,0,0.0,-1,-1,0,0,0.0,4.88
5.596,19,SEARCH,0,0.0,-1,-1,0,0,0.0,3.05
5.808,20,SEARCH,0,0.0,-1,-1,0,0,0.0,4.72
6.011,21,SEARCH,0,0.0,-1,-1,0,0,0.0,4.93
6.22,22,SEARCH,0,0.0,-1,-1,0,0,0.0,4.79
6.435,23,SEARCH,0,0.0,-1,-1,0,0,0.0,4.65
6.632,24,SEARCH,0,0.0,-1,-1,0,0,0.0,5.08
6.824,25,SEARCH,0,0.0,-1,-1,0,0,0.0,5.19
7.028,26,SEARCH,0,0.0,-1,-1,0,0,0.0,4.91
7.321,27,SEARCH,0,0.0,-1,-1,0,0,0.0,3.42
7.539,28,SEARCH,0,0.0,-1,-1,0,0,0.0,4.58
7.731,29,SEARCH,0,0.0,-1,-1,0,0,0.0,5.21
7.917,30,SEARCH,0,0.0,-1,-1,0,0,0.0,5.37
8.115,31,SEARCH,0,0.0,-1,-1,0,0,0.0,5.05
